chain,iter,log_p,dataset
2,25,-3289.126,run5p2wgs_t
1,25,-3098.366,run5p2wgs_t
3,25,-1729.822,run5p2wgs_t
0,25,833.76,run5p2wgs_t
3,25,-8728.786,run5p3wgs
1,25,-8540.058,run5p3wgs
0,25,-8496.75,run5p3wgs
2,25,-8298.336,run5p3wgs
0,25,-12044.647,run5p3wgs_t
1,25,-11508.866,run5p3wgs_t
2,25,-11242.808,run5p3wgs_t
3,25,-10820.803,run5p3wgs_t
1,25,-11838.048,run5p9wgs
2,25,-11095.793,run5p9wgs
3,25,-11005.474,run5p9wgs
0,25,-10901.755,run5p9wgs
3,25,-16051.394,run5p9wgs_t
0,25,-14809.427,run5p9wgs_t
1,25,-14583.045,run5p9wgs_t
2,25,-14552.502,run5p9wgs_t
1,26,143.271,run5p2wgs
2,26,557.084,run5p2wgs
3,26,941.332,run5p2wgs
0,26,1602.275,run5p2wgs
2,26,-3253.101,run5p2wgs_t
1,26,-3081.928,run5p2wgs_t
3,26,-1736.997,run5p2wgs_t
0,26,771.903,run5p2wgs_t
3,26,-8833.534,run5p3wgs
1,26,-8503.588,run5p3wgs
0,26,-8489.164,run5p3wgs
2,26,-8292.057,run5p3wgs
0,26,-12062.763,run5p3wgs_t
1,26,-11552.434,run5p3wgs_t
2,26,-11307.716,run5p3wgs_t
3,26,-10802.404,run5p3wgs_t
1,26,-11762.701,run5p9wgs
2,26,-11146.446,run5p9wgs
3,26,-10991.287,run5p9wgs
0,26,-10906.919,run5p9wgs
3,26,-16104.054,run5p9wgs_t
0,26,-14724.445,run5p9wgs_t
1,26,-14618.946,run5p9wgs_t
2,26,-14561.964,run5p9wgs_t
1,27,147.955,run5p2wgs
2,27,617.891,run5p2wgs
3,27,880.893,run5p2wgs
0,27,1618.723,run5p2wgs
2,27,-3339.789,run5p2wgs_t
1,27,-2990.363,run5p2wgs_t
3,27,-1624.765,run5p2wgs_t
0,27,704.726,run5p2wgs_t
3,27,-8857.811,run5p3wgs
0,27,-8549.533,run5p3wgs
1,27,-8495.382,run5p3wgs
2,27,-8274.262,run5p3wgs
0,27,-12026.74,run5p3wgs_t
1,27,-11465.665,run5p3wgs_t
2,27,-11303.105,run5p3wgs_t
3,27,-10797.424,run5p3wgs_t
1,27,-11764.408,run5p9wgs
2,27,-11167.934,run5p9wgs
3,27,-10956.428,run5p9wgs
0,27,-10865.811,run5p9wgs
3,27,-15929.953,run5p9wgs_t
0,27,-14771.914,run5p9wgs_t
1,27,-14590.859,run5p9wgs_t
2,27,-14473.206,run5p9wgs_t
1,28,216.896,run5p2wgs
2,28,703.719,run5p2wgs
3,28,890.177,run5p2wgs
0,28,1585.447,run5p2wgs
2,28,-3329.378,run5p2wgs_t
1,28,-3148.318,run5p2wgs_t
3,28,-1786.064,run5p2wgs_t
0,28,814.219,run5p2wgs_t
3,28,-8899.858,run5p3wgs
0,28,-8513.084,run5p3wgs
1,28,-8506.996,run5p3wgs
2,28,-8298.85,run5p3wgs
0,28,-11932.191,run5p3wgs_t
1,28,-11515.067,run5p3wgs_t
2,28,-11245.147,run5p3wgs_t
3,28,-10727.076,run5p3wgs_t
1,28,-11827.611,run5p9wgs
2,28,-11135.975,run5p9wgs
3,28,-10960.128,run5p9wgs
0,28,-10854.488,run5p9wgs
3,28,-15934.105,run5p9wgs_t
1,28,-14737.952,run5p9wgs_t
0,28,-14649.735,run5p9wgs_t
2,28,-14400.148,run5p9wgs_t
1,29,186.767,run5p2wgs
2,29,716.096,run5p2wgs
3,29,902.492,run5p2wgs
0,29,1594.538,run5p2wgs
2,29,-3344.365,run5p2wgs_t
1,29,-3156.073,run5p2wgs_t
3,29,-1736.497,run5p2wgs_t
0,29,734.195,run5p2wgs_t
3,29,-8890.699,run5p3wgs
1,29,-8516.067,run5p3wgs
0,29,-8456.506,run5p3wgs
2,29,-8283.26,run5p3wgs
0,29,-11960.181,run5p3wgs_t
1,29,-11567.158,run5p3wgs_t
2,29,-11273.888,run5p3wgs_t
3,29,-10768.633,run5p3wgs_t
1,29,-11791.461,run5p9wgs
2,29,-11138.133,run5p9wgs
3,29,-11037.107,run5p9wgs
0,29,-10873.296,run5p9wgs
3,29,-15896.35,run5p9wgs_t
1,29,-14639.41,run5p9wgs_t
0,29,-14599.544,run5p9wgs_t
2,29,-14382.544,run5p9wgs_t
1,30,161.942,run5p2wgs
2,30,722.703,run5p2wgs
3,30,903.463,run5p2wgs
0,30,1586.441,run5p2wgs
2,30,-3413.37,run5p2wgs_t
1,30,-3145.779,run5p2wgs_t
3,30,-1812.459,run5p2wgs_t
0,30,696.882,run5p2wgs_t
3,30,-8888.664,run5p3wgs
1,30,-8559.668,run5p3wgs
0,30,-8492.271,run5p3wgs
2,30,-8275.981,run5p3wgs
0,30,-11843.653,run5p3wgs_t
1,30,-11663.277,run5p3wgs_t
2,30,-11178.077,run5p3wgs_t
3,30,-10733.712,run5p3wgs_t
1,30,-11752.802,run5p9wgs
2,30,-11090.527,run5p9wgs
3,30,-11015.187,run5p9wgs
0,30,-10877.01,run5p9wgs
3,30,-15909.835,run5p9wgs_t
1,30,-14655.159,run5p9wgs_t
0,30,-14502.744,run5p9wgs_t
2,30,-14465.425,run5p9wgs_t
1,31,170.191,run5p2wgs
2,31,817.347,run5p2wgs
